sentence,attribute,entity,entity_offset,attribute_value,attribute_value_offset
"The Hunt 2015 S01 2160p WEB-DL AAC 5.1 H.265-PETRiFiED 
",Season,The Hunt,0,S01,13
"The Hunt 2015 S01 2160p WEB-DL AAC 5.1 H.265-PETRiFiED 
",Year,The Hunt,0,2015,8
"The Hunt 2015 S01 2160p WEB-DL AAC 5.1 H.265-PETRiFiED 
",Codex,The Hunt,0,H.265-PETRiFiED,38
"The Hunt 2015 S01 2160p WEB-DL AAC 5.1 H.265-PETRiFiED 
",Res,The Hunt,0,2160p,17
"The Outsider 2020 S01 1080p BluRay Remux DTS-HD MA5.1 H264-PmP 
",Season,The Outsider,0,S01,17
"The Outsider 2020 S01 1080p BluRay Remux DTS-HD MA5.1 H264-PmP 
",Year,The Outsider,0,2020,12
"The Outsider 2020 S01 1080p BluRay Remux DTS-HD MA5.1 H264-PmP 
",Codex,The Outsider,0,H264-PmP,53
"The Outsider 2020 S01 1080p BluRay Remux DTS-HD MA5.1 H264-PmP 
",Res,The Outsider,0,1080p,21
"Steven Universe S01 1080p GBR Blu-ray AVC DD 2.0-AdBlue 
",Season,Steven Universe,0,S01,15
"Steven Universe S01 1080p GBR Blu-ray AVC DD 2.0-AdBlue 
",Res,Steven Universe,0,1080p,19
"Cursed 2020 S01 2160p NF WEBRip DDP5.1 x265-TOMMY
",Season,Cursed,0,S01,11
"Cursed 2020 S01 2160p NF WEBRip DDP5.1 x265-TOMMY
",Year,Cursed,0,2020,6
"Cursed 2020 S01 2160p NF WEBRip DDP5.1 x265-TOMMY
",Codex,Cursed,0,"x265-TOMMY
",38
"Cursed 2020 S01 2160p NF WEBRip DDP5.1 x265-TOMMY
",Res,Cursed,0,2160p,15
"Hawaii Five-0 S03 1080p Blu-ray AVC DTS-HD MA5.1-DON 
",Season,Hawaii Five-0,0,S03,13
"Hawaii Five-0 S03 1080p Blu-ray AVC DTS-HD MA5.1-DON 
",Res,Hawaii Five-0,0,1080p,17
"Hawaii Five-0 S02 1080p Blu-ray AVC DD5.1-GNR 
",Season,Hawaii Five-0,0,S02,13
"Hawaii Five-0 S02 1080p Blu-ray AVC DD5.1-GNR 
",Res,Hawaii Five-0,0,1080p,17
"Game of Thrones S01 2160p UHD BluRay HEVC Atmos TrueHD 7.1-DiY@HDHome 
",Season,Game of Thrones,0,S01,15
"Game of Thrones S01 2160p UHD BluRay HEVC Atmos TrueHD 7.1-DiY@HDHome 
",Codex,Game of Thrones,0,HEVC,36
"Game of Thrones S01 2160p UHD BluRay HEVC Atmos TrueHD 7.1-DiY@HDHome 
",Res,Game of Thrones,0,2160p,19
"Six Feet Under S01-S05 2001-2005 1080p WEB-DL x265 AC3ï¿cXcY@FRDS 
",Season,Six Feet Under,0,S01-S05,14
"Six Feet Under S01-S05 2001-2005 1080p WEB-DL x265 AC3ï¿cXcY@FRDS 
",Year,Six Feet Under,0,2001-2005,22
"Six Feet Under S01-S05 2001-2005 1080p WEB-DL x265 AC3ï¿cXcY@FRDS 
",Codex,Six Feet Under,0,x265,45
"Six Feet Under S01-S05 2001-2005 1080p WEB-DL x265 AC3ï¿cXcY@FRDS 
",Res,Six Feet Under,0,1080p,32
"Gangs Of London 2020 S01 1080p BluRay x264-SHORTBREHD
",Season,Gangs Of London,0,S01,20
"Gangs Of London 2020 S01 1080p BluRay x264-SHORTBREHD
",Year,Gangs Of London,0,2020,15
"Gangs Of London 2020 S01 1080p BluRay x264-SHORTBREHD
",Codex,Gangs Of London,0,"x264-SHORTBREHD
",37
"Gangs Of London 2020 S01 1080p BluRay x264-SHORTBREHD
",Res,Gangs Of London,0,1080p,24
"Ascension S01 Complete 1080p BluRay DualAudio DTS-HD MA 5.1 x265 10bit-monster6688
",Season,Ascension,0,S01,9
"Ascension S01 Complete 1080p BluRay DualAudio DTS-HD MA 5.1 x265 10bit-monster6688
",Codex,Ascension,0,x265,59
"Ascension S01 Complete 1080p BluRay DualAudio DTS-HD MA 5.1 x265 10bit-monster6688
",Res,Ascension,0,1080p,22
"The X-Files S05 1080p Blu-ray AVC DTS-HD MA 5.1-jimsong 
",Season,The X-Files,0,S05,11
"The X-Files S05 1080p Blu-ray AVC DTS-HD MA 5.1-jimsong 
",Res,The X-Files,0,1080p,15
"Lost in Space S03 1080p Blu-ray AVC DTS-HD MA 1.0-DON 
",Season,Lost in Space,0,S03,13
"Lost in Space S03 1080p Blu-ray AVC DTS-HD MA 1.0-DON 
",Res,Lost in Space,0,1080p,17
"Gangs of London S01 1080p AMZN WEB-DL DDP5.1 H264-NTb  
",Season,Gangs of London,0,S01,15
"Gangs of London S01 1080p AMZN WEB-DL DDP5.1 H264-NTb  
",Codex,Gangs of London,0,H264-NTb,44
"Gangs of London S01 1080p AMZN WEB-DL DDP5.1 H264-NTb  
",Res,Gangs of London,0,1080p,19
"Hightown S01 2020 1080p WEB-DL x265 AC3ï¿cXcY@FRDS
",Season,Hightown,0,S01,8
"Hightown S01 2020 1080p WEB-DL x265 AC3ï¿cXcY@FRDS
",Year,Hightown,0,2020,12
"Hightown S01 2020 1080p WEB-DL x265 AC3ï¿cXcY@FRDS
",Codex,Hightown,0,x265,30
"Hightown S01 2020 1080p WEB-DL x265 AC3ï¿cXcY@FRDS
",Res,Hightown,0,1080p,17
"Snowpiercer S01 2020 1080p WEB-DL x265 AC3ï¿cXcY@FRDS
",Season,Snowpiercer,0,S01,11
"Snowpiercer S01 2020 1080p WEB-DL x265 AC3ï¿cXcY@FRDS
",Year,Snowpiercer,0,2020,15
"Snowpiercer S01 2020 1080p WEB-DL x265 AC3ï¿cXcY@FRDS
",Codex,Snowpiercer,0,x265,33
"Snowpiercer S01 2020 1080p WEB-DL x265 AC3ï¿cXcY@FRDS
",Res,Snowpiercer,0,1080p,20
"The Adventures of Sherlock Holmes 1984-1994 Disc3 1080p Blu-ray AVC LPCM 2.0-DIY@Ryu 
",Year,The Adventures of Sherlock Holmes,0,1984-1994,33
"The Adventures of Sherlock Holmes 1984-1994 Disc3 1080p Blu-ray AVC LPCM 2.0-DIY@Ryu 
",Res,The Adventures of Sherlock Holmes,0,1080p,49
"Under The Dome S01 2013 BluRay 1080p x265 10bit 2Audio MNHD-FRDS
",Season,Under The Dome,0,S01,14
"Under The Dome S01 2013 BluRay 1080p x265 10bit 2Audio MNHD-FRDS
",Year,Under The Dome,0,2013,18
"Under The Dome S01 2013 BluRay 1080p x265 10bit 2Audio MNHD-FRDS
",Codex,Under The Dome,0,x265,36
"Under The Dome S01 2013 BluRay 1080p x265 10bit 2Audio MNHD-FRDS
",Res,Under The Dome,0,1080p,30
"24 S05 1080p JPN Blu-ray AVC DD 5.1-COASTER 
",Season,24,0,S05,2
"24 S05 1080p JPN Blu-ray AVC DD 5.1-COASTER 
",Res,24,0,1080p,6
"Everybody Hates Chris S01 1080p PCOK WEB-DL DDP5.1 x264-AlfaHD 
",Season,Everybody Hates Chris,0,S01,21
"Everybody Hates Chris S01 1080p PCOK WEB-DL DDP5.1 x264-AlfaHD 
",Codex,Everybody Hates Chris,0,x264-AlfaHD,50
"Everybody Hates Chris S01 1080p PCOK WEB-DL DDP5.1 x264-AlfaHD 
",Res,Everybody Hates Chris,0,1080p,25
"Friends S01-S10 1080p NF WEB-DL DDP5 1 x264-TJUPT
",Season,Friends,0,S01-S10,7
"Friends S01-S10 1080p NF WEB-DL DDP5 1 x264-TJUPT
",Codex,Friends,0,"x264-TJUPT
",38
"Friends S01-S10 1080p NF WEB-DL DDP5 1 x264-TJUPT
",Res,Friends,0,1080p,15
"The Bureau S01-S05 2015-2020 1080p Blu-ray x265 AC3ï¿cXcY@FRDS
",Season,The Bureau,0,S01-S05,10
"The Bureau S01-S05 2015-2020 1080p Blu-ray x265 AC3ï¿cXcY@FRDS
",Year,The Bureau,0,2015-2020,18
"The Bureau S01-S05 2015-2020 1080p Blu-ray x265 AC3ï¿cXcY@FRDS
",Codex,The Bureau,0,x265,42
"The Bureau S01-S05 2015-2020 1080p Blu-ray x265 AC3ï¿cXcY@FRDS
",Res,The Bureau,0,1080p,28
"2 Broke Girls S01-S06 1080p WEB-DL AAC DD5.1 H264-Mixed 
",Season,2 Broke Girls,0,S01-S06,13
"2 Broke Girls S01-S06 1080p WEB-DL AAC DD5.1 H264-Mixed 
",Codex,2 Broke Girls,0,H264-Mixed,44
"2 Broke Girls S01-S06 1080p WEB-DL AAC DD5.1 H264-Mixed 
",Res,2 Broke Girls,0,1080p,21
"Monk S01-S08 COMPLETE 1080p AMZN WEB-DL x264-AJP69 
",Season,Monk,0,S01-S08,4
"Monk S01-S08 COMPLETE 1080p AMZN WEB-DL x264-AJP69 
",Codex,Monk,0,x264-AJP69,39
"Monk S01-S08 COMPLETE 1080p AMZN WEB-DL x264-AJP69 
",Res,Monk,0,1080p,21
"Supernatural S04 1080p BluRay REMUX VC-1 DD 5.1-EPSiLON 
",Season,Supernatural,0,S04,12
"Supernatural S04 1080p BluRay REMUX VC-1 DD 5.1-EPSiLON 
",Res,Supernatural,0,1080p,16
"Supernatural S05 1080p BluRay REMUX VC-1 DD 5.1-EPSiLON 
",Season,Supernatural,0,S05,12
"Supernatural S05 1080p BluRay REMUX VC-1 DD 5.1-EPSiLON 
",Res,Supernatural,0,1080p,16
"Supernatural S06 1080p BluRay REMUX AVC DTS-HD MA 5.1-EPSiLON 
",Season,Supernatural,0,S06,12
"Supernatural S06 1080p BluRay REMUX AVC DTS-HD MA 5.1-EPSiLON 
",Res,Supernatural,0,1080p,16
"Supernatural S07 1080p BluRay REMUX AVC DTS-HD MA 5.1-EPSiLON 
",Season,Supernatural,0,S07,12
"Supernatural S07 1080p BluRay REMUX AVC DTS-HD MA 5.1-EPSiLON 
",Res,Supernatural,0,1080p,16
"Warrior Nun S01 2160p NF WEBRip DDP5.1 x265-TOMMY
",Season,Warrior Nun,0,S01,11
"Warrior Nun S01 2160p NF WEBRip DDP5.1 x265-TOMMY
",Res,Warrior Nun,0,2160p,15
"Senke nad Balkanom S01 1080p AMZN WEB-DL DDP2.0 H264-MZABI
",Season,Senke nad Balkanom,0,S01,18
"Senke nad Balkanom S01 1080p AMZN WEB-DL DDP2.0 H264-MZABI
",Codex,Senke nad Balkanom,0,"H264-MZABI
",47
"Senke nad Balkanom S01 1080p AMZN WEB-DL DDP2.0 H264-MZABI
",Res,Senke nad Balkanom,0,1080p,22
"Blindspot S05 1080p AMZN WEB-DL DDP5.1 H264-NTb
",Season,Blindspot,0,S05,9
"Blindspot S05 1080p AMZN WEB-DL DDP5.1 H264-NTb
",Codex,Blindspot,0,"H264-NTb
",38
"Blindspot S05 1080p AMZN WEB-DL DDP5.1 H264-NTb
",Res,Blindspot,0,1080p,13
"The Big Bang Theory S01-12 2007-2018 Bluray Pad 1080p x265-10bit AAC-Gamma 
",Season,The Big Bang Theory,0,S01-12,19
"The Big Bang Theory S01-12 2007-2018 Bluray Pad 1080p x265-10bit AAC-Gamma 
",Year,The Big Bang Theory,0,2007-2018,26
"The Big Bang Theory S01-12 2007-2018 Bluray Pad 1080p x265-10bit AAC-Gamma 
",Codex,The Big Bang Theory,0,x265-10bit,53
"The Big Bang Theory S01-12 2007-2018 Bluray Pad 1080p x265-10bit AAC-Gamma 
",Res,The Big Bang Theory,0,1080p,47
"McMafia 2018 S01 GER Blu-ray 1080i AVC DTS-HD MA 5.1 
",Season,McMafia,0,S01,12
"McMafia 2018 S01 GER Blu-ray 1080i AVC DTS-HD MA 5.1 
",Year,McMafia,0,2018,7
"McMafia 2018 S01 GER Blu-ray 1080i AVC DTS-HD MA 5.1 
",Res,McMafia,0,1080i,28
"Unbelievable S01 HDR 1080p NF WEB-DL DDP5.1 H265-Ao
",Season,Unbelievable,0,S01,12
"Unbelievable S01 HDR 1080p NF WEB-DL DDP5.1 H265-Ao
",Codex,Unbelievable,0,"H265-Ao
",43
"Unbelievable S01 HDR 1080p NF WEB-DL DDP5.1 H265-Ao
",Res,Unbelievable,0,1080p,20
"Supernatural S08 1080p BluRay REMUX AVC DTS-HD MA 5.1-EPSiLON
",Season,Supernatural,0,S08,12
"Supernatural S08 1080p BluRay REMUX AVC DTS-HD MA 5.1-EPSiLON
",Res,Supernatural,0,1080p,16
"Supernatural S09 1080p BluRay REMUX AVC DTS-HD MA 5.1-EPSiLON 
",Season,Supernatural,0,S09,12
"Supernatural S09 1080p BluRay REMUX AVC DTS-HD MA 5.1-EPSiLON 
",Res,Supernatural,0,1080p,16
"Supernatural S10 1080p BluRay REMUX AVC DTS-HD MA 5.1-EPSiLON
",Season,Supernatural,0,S10,12
"Supernatural S10 1080p BluRay REMUX AVC DTS-HD MA 5.1-EPSiLON
",Res,Supernatural,0,1080p,16
"The Tudors S02 BluRay 1080p TrueHD 5.1 AVC REMUX-FraMeSToR
",Season,The Tudors,0,S02,10
"The Tudors S02 BluRay 1080p TrueHD 5.1 AVC REMUX-FraMeSToR
",Res,The Tudors,0,1080p,21
"Motherland Fort Salem S01 1080p AMZN WEB-DL DDP5.1 H 264-NTG
",Season,Motherland Fort Salem,0,S01,21
"Motherland Fort Salem S01 1080p AMZN WEB-DL DDP5.1 H 264-NTG
",Codex,Motherland Fort Salem,0,"264-NTG
",52
"Motherland Fort Salem S01 1080p AMZN WEB-DL DDP5.1 H 264-NTG
",Res,Motherland Fort Salem,0,1080p,25
"Westworld S02 2160p UHD BluRay HEVC Atmos TrueHD 7.1-DiY@HDHome 
",Season,Westworld,0,S02,9
"Westworld S02 2160p UHD BluRay HEVC Atmos TrueHD 7.1-DiY@HDHome 
",Res,Westworld,0,2160p,13
"Normal People S01 2160p HULU WEB-DL DDP 5 1 H 265-NTb
",Season,Normal People,0,S01,13
"Normal People S01 2160p HULU WEB-DL DDP 5 1 H 265-NTb
",Codex,Normal People,0,"265-NTb
",45
"Normal People S01 2160p HULU WEB-DL DDP 5 1 H 265-NTb
",Res,Normal People,0,2160p,17
The Big Bang Theory S01-S12 2007-2018 BluRay 1080p Remux DTS-HD MA5 1 AVC-Gamma ,Season,The Big Bang Theory,0,S01-S12,19
The Big Bang Theory S01-S12 2007-2018 BluRay 1080p Remux DTS-HD MA5 1 AVC-Gamma ,Year,The Big Bang Theory,0,2007-2018,27
The Big Bang Theory S01-S12 2007-2018 BluRay 1080p Remux DTS-HD MA5 1 AVC-Gamma ,Res,The Big Bang Theory,0,1080p,44
